Game name,Startdate,Enddate,ID
Axie Infinity,1604448000,1607040000,axie-infinity
Illuvium,1617148800,1619740800,illuvium
Yield Guild Games,1627430400,1630022400,yield-guild-games
My Neighbor Alice,1615766400,1618358400,my-neighbor-alice
Ultra,1563408000,1566000000,ultra
Alien Worlds,1617753600,1620345600,alien-worlds
Thetan Gem,1631750400,1634342400,thetan-arena
Mines of Dalarnia,1635984000,1638576000,mines-of-dalarnia
DEAPcoin,1586822400,1589414400,deapcoin
GameFi,1631318400,1633910400,gamefi
GameZone,1633046400,1635638400,gamezone
Gods Unchained,1635465600,1638057600,gods-unchained
Aurory,1635120000,1637712000,aurory
DeFi Land,1637712000,1640304000,defi-land
Gold Fever,1637280000,1639872000,gold-fever-native-gold
Cryowar,1636675200,1639267200,cryowar-token
ChainGuardians,1615420800,1618012800,chain-guardians
Genopets,1637193600,1639785600,genopets
Crabada,1636761600,1639353600,crabada
Blockchain Monster Hunt,1634169600,1636761600,blockchain-monster-hunt
UniX Gaming,1638057600,1640649600,unix
Realm,1631664000,1634256000,realm
Velhalla,1637020800,1639612800,velhalla
Monsta Infinite,1631750400,1634342400,monsta-infinite
Nakamoto Games,1634256000,1636848000,nakamoto-games
WonderHero,1634774400,1637366400,wonderhero
Bemil,1637798400,1640390400,bemil-coin
Project SEED,1636416000,1639008000,shill-token
Dark Frontiers,1633651200,1636243200,dark-frontiers
Starpunk,1632873600,1635465600,starpunk
DeFi Warrior,1630972800,1633564800,defi-warrior
X World Games,1629417600,1632009600,x-world-games
MyDeFiPet,1620432000,1623024000,my-defi-pet
GunStar Metaverse,1638230400,1640822400,gunstar-metaverse
Space SIP,1635638400,1638230400,space-sip
Sin City,1634860800,1637452800,sin-city
Dreams Quest,1635811200,1638403200,dreams-quest
Defina,1633996800,1636588800,defina-finance
Wanaka Farm,1630454400,1633046400,wanaka-farm
MyMasterWar,1633392000,1635984000,my-master-war
Zuki Moba,1637452800,1640044800,zuki-moba
PolkaWar,1625011200,1627603200,polkawar
YAY Games,1631059200,1633651200,yay-games
Polker,1625097600,1627689600,polker
Three Kingdoms,1634083200,1636675200,the-three-kingdoms
Titan Hunters,1637193600,1639785600,titan-hunters
Aspo World,1636848000,1639440000,aspo-world
Crypto Prophecies,1619740800,1622332800,the-crypto-prophecies
Revolve Games,1632700800,1635292800,revolve-games
Good Games Guild,1636588800,1639180800,good-games-guild
DeathRoad,1630886400,1633478400,deathroad
Mist NFT,1618617600,1621209600,mist
Elpis Battle,1637539200,1640131200,elpis-battle
Kryptomon,1629936000,1632528000,kryptomon
Legends of Crypto,1620000000,1622592000,locgame
Polygonum Online,1638230400,1640822400,pog-coin
Meli Games,1636588800,1639180800,meli-games
Continuum World,1633392000,1635984000,continuum-world
DinoX,1627516800,1630108800,dinox
Moniwar,1634169600,1636761600,moniwar
CryptoDiceHero,1638057600,1640649600,cryptodicehero
Dragon Kart,1636675200,1639267200,dragon-kart-token
Mimir Token,1636070400,1638662400,mimir-token
Warena,1633737600,1636329600,warena
Bitspawn,1624320000,1626912000,bitspawn
ProjectOasis,1634083200,1636675200,project-oasis
Ethermon,1622160000,1624752000,ethermon
Planet Sandbox,1633392000,1635984000,planet-sandbox
Kawaii Islands,1634083200,1636675200,kawaii-islands
Mech Master,1635120000,1637712000,mech-master
Snook,1630972800,1633564800,snook
Step Hero,1629072000,1631664000,step-hero
MoonieNFT,1630972800,1633564800,moonienft
TryHards,1637798400,1640390400,tryhards
Age of Tanks,1637798400,1640390400,age-of-tanks
Hero Arena,1634774400,1637366400,hero-arena
Meta Spatial,1636243200,1638835200,meta-spatial
Cryptomeda,1630022400,1632614400,cryptomeda
Demole,1634601600,1637193600,demole
