,Axie Infinity,Illuvium,Yield Guild Games,My Neighbor Alice,Ultra,Alien Worlds,Thetan Gem,Mines of Dalarnia,DEAPcoin,GameFi,GameZone,Gods Unchained,Aurory,DeFi Land,Gold Fever,Cryowar,ChainGuardians,Genopets,Crabada,Blockchain Monster Hunt,UniX Gaming,Realm,Velhalla,Monsta Infinite,Nakamoto Games,WonderHero,Bemil,Project SEED,Dark Frontiers,Starpunk,DeFi Warrior,X World Games,MyDeFiPet,GunStar Metaverse,Space SIP,Sin City,Dreams Quest,Defina,Wanaka Farm,MyMasterWar,Zuki Moba,PolkaWar,YAY Games,Polker,Three Kingdoms,Titan Hunters,Aspo World,Crypto Prophecies,Revolve Games,Good Games Guild,DeathRoad,Mist NFT,Elpis Battle,Kryptomon,Legends of Crypto,Polygonum Online,Meli Games,Continuum World,DinoX,Moniwar,CryptoDiceHero,Dragon Kart,Mimir Token,Warena,Bitspawn,ProjectOasis,Ethermon,Planet Sandbox,Kawaii Islands,Mech Master,Snook,Step Hero,MoonieNFT,TryHards,Age of Tanks,Hero Arena,Meta Spatial,Cryptomeda,Demole,Real Realm,Kaby Arena,Playermon,Lord Arena,Legend of Fantasy War,World of Cryptia,TradeStars,Green Beli,The Killbox,DoragonLand,Heroverse,RIFI United,Prometheus,GamyFi,Duelist King,Bunicorn,Forest Knight,Fabwelt,Operon Origins,Ghospers Game,Gamerse,GemGuardian,Monsters Clan,Knight War Spirits,Monopolist,Ninneko,Arata,HowlCity,Rogue West,OneRare,Kingspeed,Starchi,CryptoTycoon,Soccer Hub,Versus Farm,Realm Defenders,FuruKuru,WIZARD,Yarloo,Cubiex,MetaFish,Moo Monster,PolkaMonster,ForceCowBoy,Medacoin,Kryxivia,The Dynasty,Heroes TD,PolyPlay,Pocoland,The Spartans,CropBytes,Mytheria,Oly Sport,Vodka Token,Chimeras,Zodium,EON Protocol,CATO,Souni,12 Legions,Happy Land,Bit Hotel,Fishing Town,Attack Wagon,Crypto Fight Club,WiDiLand,Epic Meta,ZONE,Atlantis Metaverse,Legends of Elumia,Pocket Arena,Rainmaker Games,DopeWarZ,JokerWar,Space Falcon,CryptoGwent,DeHorizon,Zombie World Z,Elfin Kingdom,Guild of Guardians,Meland,Domi Online,Spark Era,Solchicks,CyberTrade,BlockchainSpace,CryptoVsZombie,MetaverseX,Street Runner,Animalia,RaceFi,Zomfi,Spintop,MetaSoccer,CryptoTanks,Last Survivor,Quizarena,Cornucopias
0,11502933.306250907,9996908.340068104,6786946.496810718,296788390.90009266,2380898.2977355323,2072401.4503516345,17377861.164298426,437578588.3694653,18350888.10998213,7296867.583336014,9885440.37615787,5789696.513015569,10506773.584768454,0.0,10521410.978133721,12692252.927787509,35231223.43947394,19265531.999598484,5229103.168153306,5049387.083549506,0.0,13383064.984756323,32227562.509692617,39129882.8281059,5098287.494395045,346241.0774059957,0.0,20560328.144715227,8796790.464483056,1276301.9639411888,1302096.599328233,492504.8526505727,1197328.63283659,0.0,838508.5774810738,585732.2240913853,45437396.136981755,13315939.766614053,2157308.0812392267,9834367.71717995,0.0,118148.56724978486,20764810.755308323,64636.655427415186,862490.0786533555,22196268.106484767,9154431.73996993,2424168.7123159203,1634849.2633944743,4633166.067052665,15552654.357260253,16153982.937550647,0.0,1754345.2713722314,1736271.3904675916,0.0,1174668.4506984423,1488868.1991475255,7751533.542749827,4295551.862809405,0.0,1738826.2866385067,1369386.0898762974,12730721.647733573,1279179.7447720277,4670846.5006063115,188403.35334836796,9281.401099278624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1893813.9826727416,0.0,0.0,1507975.5103464376,1203618.6858231358,4369692.062866681,545446.9623583406,0.0,0.0,6987521.826500217,158886.58804729913,8281747.981666186,625972.1269446181,9851704.087677374,221150.95400202842,543660.6546786327,1082024.768913305,0.0,1847672.1366726584,7964599.267438742,9125564.695534002,9150498.503046049,5807619.938783148,0.0,783770.8598329019,787555.6791754063,643032.3611618758,373178.4042550323,0.0,0.0,0.0,354070.7764992486,7971275.486350808,861768.6373045763,0.0,1084619.9490651395,951578.4420884193,84750.47225146113,436.02694665605003,2391235.9651642214,0.0,15587128.35574701,146515.6308299122,438147.5790713409,0.0,8398790.680436797,0.0,596433.1379842312,17472062.20014974,6659131.903385868,8323207.3463885635,11709870.80956597,2125945.9917951548,0.0,719035.2019569833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096640.0300979372,0.0,0.0,28.082463991909577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13667638.454866024,9877157.63776461,22200519.148106214,598761498.8371054,2383091.0973335668,2656869.779065915,17897144.624861434,519865477.05463475,18606891.930159684,8427193.591949724,10072084.633083025,8716300.66074162,11333061.318001123,0.0,10751345.486195097,28219361.41785357,39402917.51113589,30623876.39137388,11693647.26420761,5361442.552812391,0.0,13544627.106902188,34925228.59616103,40563367.95891858,13752751.462111618,480714.8991229415,0.0,22450219.72052611,9454599.383191137,2006860.8307838216,1815998.4510938842,888914.7303864175,1653110.867708326,0.0,785882.6851906043,608741.1819911717,58315217.07962735,13794575.167024558,2167346.562879895,9887984.314069448,0.0,117047.53040099192,21940641.95860128,60999.28449001266,1748532.1870972328,23113600.796247344,10322375.351699546,2284642.1697209775,1642941.9058557546,10248762.794267872,16450333.941730734,12483930.813916566,0.0,1710567.1212354652,2103875.402752765,0.0,1171257.6765065691,1461395.3654980648,12898724.444474261,5072416.265449483,0.0,2109319.9646980693,1418581.138561374,13037209.587763404,1521241.6117880703,4765151.1728255795,176114.78516651885,9228.692577767053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171735.387802371,0.0,0.0,3506539.467936785,1286926.2440713232,4658669.51422347,603226.6044661837,0.0,0.0,7213872.709947315,180188.4712273711,8128242.863775776,4634927.223380705,9962970.016175777,231030.629126817,1825378.5002255307,1088246.4889581075,0.0,1902330.8510118413,8120438.520682213,9541501.979063932,9717063.989574565,6252536.333797674,0.0,862843.8750576022,1215315.201980343,685643.0538532806,380154.1695304901,0.0,0.0,0.0,380190.67522461974,8207351.025720695,876736.6694580528,0.0,2413773.284375261,946713.1541745889,87191.154211574,434.291517385026,2450918.4869792224,0.0,15499915.727733951,147566.95246172053,407539.82591011946,0.0,4386905.73104081,0.0,616506.8773892869,17751285.668951083,6716857.5177294,9064074.75713562,12104333.21988252,2101464.6651621913,0.0,857013.7743905627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1582958.6432805452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15243064.704578742,11518401.69885776,26205848.76643222,1066202665.8536475,2471510.6230903873,3821775.3555899286,18103578.633208174,562657343.7755041,19225981.44526439,9546794.711095037,10140800.665720336,14062669.788552878,13465170.100001426,0.0,10426128.4933337,34130822.04562447,33163172.843330324,33797190.060926355,15038735.420688929,4706352.664057381,0.0,13793277.122944893,36636211.4257418,41069335.568116896,13893009.23341033,4316222.84827683,0.0,30413755.048904072,9597712.669011036,2344746.865455454,2001849.8107265218,1059442.3867964584,1870359.599553985,0.0,788671.166371254,619770.9804381663,73450048.1307889,14677208.134135941,2195788.609677147,9973052.816547181,0.0,107177.09825956052,22769480.564923447,78883.98129770324,2384696.7227645502,23182927.03372811,11434194.087182878,2220842.563609911,1652000.4481205663,11393823.014490236,16833314.893175915,13860262.427269733,0.0,1697403.2056977137,3427765.244864937,0.0,1188237.787252242,1427937.9296519326,15105902.27419261,5459059.308488083,0.0,2306747.14009098,1402676.8751823169,13346747.111427305,1496936.8970738198,4720627.891993092,183142.94195413802,9219.726670561447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2245586.20666348,0.0,0.0,3675645.5059929523,1284359.8579882248,4297825.014634664,595777.1552402811,0.0,0.0,7354905.480545206,178607.04191138767,8348179.671779927,5390337.0075166905,7806920.029167803,244101.87164725826,2159572.2013541507,1104138.418000119,0.0,1919157.3500396812,8332112.380219351,10030117.190142462,9893220.201056441,6655392.338057408,0.0,848729.3991388875,1322703.495279389,743421.527287115,376367.05737732636,0.0,0.0,0.0,354886.7863281792,8341599.329356455,890162.1501160961,0.0,2815270.919979825,945067.7160253839,101604.50766395254,438.8480456092972,2488967.94364394,0.0,15852628.479088947,150404.7677693676,381350.126456162,0.0,3020184.2687142016,0.0,619865.1751116515,32973894.334122866,6789999.908805077,9138812.721277878,19252767.783894848,2019604.7842377883,0.0,919841.2481567427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1484672.6319804608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,16504056.054449879,12289682.219009863,30091676.132724393,1402180036.878928,2443297.877122027,4063811.6086396524,18717190.209431604,652360038.404352,19356155.520639163,9070014.303500375,10050158.05323185,15041116.478460472,13840376.556646874,0.0,10321369.20379471,34990106.73733078,37296934.79910384,41682401.07423653,18748859.694618884,6077858.331380823,0.0,14450717.104544824,37170980.166980624,42331978.332233936,16019164.547057537,4927455.204528192,0.0,32194732.606870826,9819790.084555339,2708209.8645107998,2616587.0981519464,988586.1911886109,1762529.7789286461,0.0,779990.345690239,618377.5093662007,81681043.04681753,15372417.940185267,2214511.714049117,10493772.53532509,0.0,102516.21974202043,24000570.414029334,80844.83169511403,12306583.105971204,23210227.57037479,11843482.708319858,2222250.9101074846,1678630.5750399167,11603864.33720275,17023600.726596158,13441190.343686977,0.0,1639520.98493899,3485992.158510773,0.0,1189896.0872740007,1395754.565094718,19100603.06826592,5630550.896679274,0.0,2358803.8387336303,1451396.471637807,13701500.040313737,1400930.7040285538,4843747.981291925,182430.4069557701,9269.138554990495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232375.0470856186,0.0,0.0,3937892.720029814,1322647.5511667705,4478761.865470982,602565.4894622259,0.0,0.0,7432493.899604232,170372.49174839378,7876771.928613087,4722097.3990764925,6763776.204876474,248053.01012309548,1494432.0998843063,421942.2154971697,0.0,1915940.0697961417,8570718.839901607,10205944.24293368,3894936.7836748,6765869.326410843,0.0,869061.0545475258,1383241.5528128075,1029602.052091646,385539.92849151953,0.0,0.0,0.0,426940.7333586806,8437571.767500147,915008.7918954832,0.0,3012706.5166215096,956441.7433632676,103984.07444952415,310.09899193354556,2535780.1835712553,0.0,16527148.048876679,153725.53173018596,310472.87504029257,0.0,2174166.1821886785,0.0,620502.6692544069,33055097.65988838,6848786.4065800365,10666442.864228005,19154253.233522456,1810139.148586005,0.0,899537.2073941214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1451444.2683971196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17344546.08479289,11931749.621973671,32560629.818760548,1686823756.8602529,2538462.7877891324,4675915.11310135,18706111.711486433,728770232.254831,19471747.349078152,8597482.004104415,10200541.738088783,15171572.833872663,14097957.060532147,0.0,9954857.733423026,35629014.49227909,39508015.737045,42808923.701846145,20140217.794550825,6395884.544805794,0.0,14662542.520036675,37913803.89452508,45925923.382970765,16036920.104664497,6110416.05797834,0.0,32833102.303791657,9944528.695433414,2585746.400890562,2904869.9144195537,988135.1674488747,1648677.1559915661,0.0,746406.7421969862,645650.9350082726,133594342.68608722,15660670.397799993,2269390.788075096,10785653.60430498,0.0,97803.53044806157,21269010.798880897,81177.60134349388,12483907.526090167,23271353.148097377,13639429.708634857,2182132.005327324,1571806.207487201,11500722.015733123,17318404.268417764,12159433.346057838,0.0,1605788.3441498785,4066412.896931533,0.0,1192853.194630073,1364320.4900135708,25255602.70000223,5738139.949881273,0.0,2435292.7282520197,1565698.6359666844,13977276.91784439,1479107.1664633153,4928074.00256189,209490.30463037634,9278.32095190355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2127010.5134088676,0.0,0.0,4523998.767433715,1357064.0158372042,4074473.406315863,615813.9118192379,0.0,0.0,7685144.543679244,162446.5743276357,7809229.757680983,5680059.592696056,5802290.73400264,238521.27501560532,1948886.4084955417,314787.49373898003,0.0,1924648.9559988172,8831148.266264848,10248083.050992653,1305335.9205599867,6780976.8210153775,0.0,923273.8163150202,1416808.7030887045,1108132.1844395446,381223.4996705113,0.0,0.0,0.0,400050.7145225506,8586501.796669904,926625.6741485801,0.0,3120818.4824423343,972222.2834849047,112906.024388905,449.4100514852256,2603422.995625829,0.0,17244754.704898685,155483.55665050598,264294.66804550117,0.0,1990252.936253508,0.0,583535.9744443452,32786166.566126406,6941613.081937766,11858606.429719063,19305105.28047065,1589616.1156510669,0.0,877892.2360737247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480192.5284901313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,17965548.34372659,9958778.632898506,32282634.26585108,1780378360.232018,2521500.0733464803,4730867.149362073,19088772.27192085,765101642.8025974,19180937.49126102,4783119.535099631,10261729.489733908,17760758.946424764,14291114.739902621,0.0,10565179.878738564,39424193.35569776,35569853.84434388,39867000.39193626,25672376.39122502,10361281.191454884,0.0,14735859.234985044,37860212.08110374,47275233.60126259,15144730.225981394,6435972.608258235,0.0,32560441.428517614,10011378.480710257,2400114.4887546194,2887229.0583488424,926712.3025432895,1993213.5028189844,0.0,691733.1254588995,646426.3271405889,137944123.3163752,16361100.722025808,2212178.916934641,10986067.885279695,0.0,96901.42944466272,25549429.26217526,88593.59614139442,12871498.383368572,23605042.22421201,13995674.11810621,2359368.7932427316,1520265.4524998686,22049064.77863097,17710708.024372924,11890520.289740195,0.0,1504294.0152444425,3993157.000183829,0.0,1157361.2287620506,1306176.8264191058,26639072.121958595,5808060.908818767,0.0,2759195.9871196616,1533490.134167178,14226564.46772051,1451552.807225995,5003681.050757314,205901.5895767106,9696572.559141614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196286.163990332,0.0,0.0,4151877.578757345,1370322.8899677708,4355142.216046893,636854.5580522462,0.0,0.0,7857929.113263128,166154.39786626576,7235648.026270074,6016935.452543566,5408373.870154067,225894.9086535238,2271990.6431914116,262846.5667471113,0.0,1947461.314979548,9079934.384505618,10399643.79284048,1146159.6260319217,6893765.808565233,0.0,1047405.7218720665,1483370.1055512405,1144677.3809053993,383283.1251387564,0.0,0.0,0.0,433424.65836537606,8704564.379249986,934325.9039819705,0.0,3093356.893002009,987091.7008286001,122763.93803651887,454.8275804188825,2651060.193759348,0.0,18143955.024003576,157290.58629221233,238530.50949556657,0.0,1913644.4142352026,0.0,572070.8376796354,33459825.67764084,6968828.467058096,10960514.975350529,19480635.968226485,1536764.3448533446,0.0,886982.6485199351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1614398.392383337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18247329.214210562,9846200.70488884,32877130.284812145,1849902554.8082368,2564244.157307038,4825233.892210945,19428223.29622823,803072553.6265135,19163333.967747305,3647960.155431662,10399634.073501753,20607088.368670557,14467277.329886405,0.0,10346429.406355845,78133126.30350772,33697314.94773476,40407276.96568185,28754925.581057444,8979141.394049637,0.0,15110571.663678039,39068740.475478165,48145060.68801597,17211274.66778507,6648103.435651987,0.0,36567644.3396974,10135854.948786749,2318333.674921052,3518252.7790281745,1111169.5176987627,1892021.3976134395,0.0,656630.3611259088,634840.0813203144,153209619.5520137,16797877.83907137,2083910.9719054243,11095047.484389096,0.0,111125.5509988784,26672755.614939738,82694.70885058187,13089982.738252439,24047741.621514276,14774981.211803222,2378339.318246274,1496138.2649013544,22734293.922401536,18096857.51500706,12877219.683723569,0.0,1446473.301516113,4079257.042364632,0.0,1178370.236224998,1268389.3897453074,24917593.963915836,6074128.230209058,0.0,3065839.1061784797,1509177.436226825,9487285.955414422,1906719.7976086456,5176754.245032305,233581.82831668007,9819131.613330245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984662.1898415724,0.0,0.0,3944031.543615824,1439643.2026250258,4454493.286657696,639582.8984785649,0.0,0.0,8067510.407539683,166347.68923641692,7213089.350840102,3386287.6783399563,5297878.323007865,227744.70503445057,2388865.2270527342,245588.03490052122,0.0,1849568.2563380708,9207929.21823808,10570908.027618326,1435195.0583585843,6743840.282993304,0.0,1160928.2360897537,1533301.1043630112,1163287.3757014435,380600.6765862386,0.0,0.0,0.0,410824.4068559076,8731146.338237315,953686.4477779269,0.0,3233413.2800476626,996354.5536631655,130470.83202149799,460.2083737401036,2824982.9063433423,0.0,19455483.08808468,215986.10152522798,218518.78741477663,0.0,1882537.1064013836,0.0,549330.2212008751,33301992.10790987,7022778.055357417,11038617.211539444,19415018.92030792,1468834.2721842679,0.0,881590.9675481593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729256.027220972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,18424394.685536236,9488665.66638541,33692217.577128954,1970119023.9325502,2572973.3614388937,4784938.750406807,19686283.83464944,842200839.9979484,18932580.610615544,3289039.1212637317,10546724.146332761,26889564.10646173,14637715.912067676,0.0,10896167.728825008,88173388.99635981,35467295.73881569,44727061.98782918,33037441.70810621,9228216.55241937,0.0,15594044.044142028,39755610.217498966,48518710.39298771,16877527.15658677,6741104.877641784,0.0,35800945.225095734,10079216.805459889,2329833.4867302864,3175275.4442388364,1117700.2549202458,2009622.1866896527,0.0,637182.5010882734,618398.2997485038,274652006.5972279,17431977.718630847,2030583.6162303684,11175744.550872387,0.0,112741.29061288985,27994876.30146636,85796.05708218331,13590132.803378321,24292073.29630462,15191013.988311613,1384814.0858823378,1463534.1708231466,22598269.883841734,18692175.42318954,12143491.726522703,0.0,1396630.2298810352,4229582.804272443,0.0,1151057.0808087168,1235492.0436474644,25310778.73715701,6125447.07120829,0.0,2977175.565004286,1641021.839496025,8299046.149446792,1974384.8064803556,5941687.717376762,221754.84537753626,10059318.548809035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2469462.1787310457,0.0,0.0,3931919.395373176,1512584.4923781885,4350067.459666802,635417.7820547848,0.0,0.0,8239122.722127205,174293.39262974597,7264749.648393403,3356243.0421804,5044539.073150754,227883.25843093355,2557135.675713541,236429.9315964955,0.0,1855240.5946961835,9348982.109335497,10768246.714267805,1538180.8250152632,4902299.592905926,0.0,1164380.4140434458,1570523.353927633,1135749.302041765,372691.4705592114,0.0,0.0,0.0,361431.5113761476,8767058.080617355,972139.3120036486,0.0,3243724.227660278,1006127.3374847457,130839.08232271229,212.37750384005096,2898040.8707960523,0.0,20012662.42942404,275688.9926824854,205311.82472992485,0.0,1752641.0100702113,0.0,550009.2600052401,29553531.086997714,7084373.701286118,11613592.200880958,19667443.500368424,1468690.75473674,0.0,914346.3199503535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657091.0212466586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18518650.399646755,10171297.302285621,35692686.09507006,1978337802.5155501,2591992.8940184317,4672736.867524743,20071505.667469382,885967260.6006638,19311878.36650856,4708070.177910591,10793185.012571556,27751235.036878437,14858538.36190667,0.0,10913663.417435791,88235884.32472314,32230051.687635448,41343810.624574006,30846397.988668,9381598.397366581,0.0,15842989.745285382,40018209.80469153,49145443.24286235,17353802.77664146,7039715.3282471225,0.0,36535043.44144313,10049951.814535758,2485742.213359414,3130038.4278195226,1512200.9739939412,2113843.3141020043,0.0,622945.0723693917,535433.7255973066,270477091.41395867,19434296.47531097,2044956.965912574,11331993.015404878,0.0,107551.85426303241,28874136.201994967,84898.16903043703,13632515.438069923,24562233.684219677,15655043.278870495,982645.2641424314,1415806.045933571,24566331.97529037,19027166.28354233,2432164.555567535,0.0,1263356.0682021098,4401162.295930115,0.0,1272297.186859219,1295954.7981475024,25477361.324280992,6216958.9113489725,0.0,2959547.1203057207,1626111.9101575585,7790711.967991421,2088716.2057629868,6145106.719332268,221489.0574214942,10231136.146534067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567424.634359537,0.0,0.0,3936764.356133163,1546073.6226239875,4193387.363630673,647567.6897670944,0.0,0.0,8407235.63634288,174142.0034592161,7373126.990283414,2843397.4026846723,4925858.325060874,220138.4261607394,2915223.535592167,233175.77269949077,0.0,1922570.4069806735,9459844.930643644,10756319.34057882,1681956.4524809388,4623144.707242066,0.0,1154617.7810496972,1584555.789359148,1130780.4088305947,372729.4129297741,0.0,0.0,0.0,344400.07271803776,8808403.138322089,971794.8536954147,0.0,3272303.762740143,910304.4445252339,132903.877604258,159.4170486512258,2950424.689898373,0.0,20321388.935161162,284703.3190202119,181384.55650784666,0.0,1623411.3647511455,0.0,539372.4251919307,22243206.336946268,7126729.490654297,11219918.310988486,20138866.253880907,1502072.2360019733,0.0,935628.5321222539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1641780.8947097727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,18657632.655185763,10165542.35174226,35207962.672803864,2116922774.4846187,2623753.7864872585,4778778.429052399,20227471.26781154,990534006.3071655,19086373.575108353,4726580.799695442,11094374.433070958,27692460.55632676,15513678.975664893,0.0,11290737.667114563,88052918.91674389,35999360.87170365,46143934.47197722,33357629.33756445,9979804.983771123,0.0,16159109.43470501,39866914.736745745,49120036.51357032,17866717.077068757,7111667.650298382,0.0,35631157.61007894,9775423.808036666,2485798.560642394,3072689.9830099,1472685.7790232035,2153934.6490251063,0.0,613205.5624441991,390070.82007322233,283701233.822178,19717654.96093228,2008010.3965356497,11652955.872483494,0.0,107890.67797229283,29679224.983019408,84165.32849634138,13568546.074627668,24777398.37341949,16401404.61851761,888670.2975784659,1393342.6501009103,30860310.28485747,19330772.05980535,2519583.5895504705,0.0,1227768.1812130883,4612683.750716483,0.0,1248463.4984286558,1221047.8882623925,16502265.849138472,6281897.127094711,0.0,2995365.4913349375,1708520.1116403241,7122214.562262439,2074983.4344753157,6213942.579641781,217712.1724104382,10321895.882944547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2705352.7341756416,0.0,0.0,3814557.4971933234,1361237.9518319932,4275639.044354988,660196.5111447744,0.0,0.0,8583890.589260075,178819.92203893937,6847442.402516338,2605819.6045211414,5023714.976618672,217672.39446057772,4796447.465976711,223042.06939895608,0.0,1927526.6234488715,9545918.552648844,11213342.09973459,1750190.9452352668,4286798.835058572,0.0,1151818.0794319822,1618948.8389879665,1086459.468589859,351709.96181023825,0.0,0.0,0.0,344825.65242481534,8880004.206896292,1007384.7669507026,0.0,3290927.1755267885,408037.4440905334,147190.34677759916,106.73885768129463,3000961.9321651286,0.0,23130923.72390556,305249.1811716452,157204.97166753377,0.0,1583957.1031904258,0.0,534416.6096750431,14129980.136919694,4439703.761721542,11095144.128074178,19909083.492339768,1602942.4600640333,0.0,984849.9876292178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600334.332834933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
