,Token Name,Token Symbol,Title,Percent
0,Axie Infinity,AXS,"['Private sale', 'Public sale', 'Team & Advisors', 'Staking rewards', 'Play to Earn', 'Ecosystem']","[4, 11, 28, 29, 20, 8]"
6,Illuvium,ILV,"['Yield', 'Launchpad', 'Treasury', 'Team', 'Seed', 'Pre Seed']","[40, 10, 15, 15, 15, 5]"
9,Yield Guild Games,YGG,"['Treasury', 'Advisors', 'Investors', 'Founders', 'Community']","[13.3, 1.85, 24.9, 15, 45]"
10,My Neighbor Alice,ALICE,"['User incentives', 'Private sale', 'Team & advisor', 'Community', 'Platform reward', 'Reserve', 'Ecosystem', 'SHO']","[5, 21, 15, 15, 8, 20, 15.2, 0.8]"
11,Ultra,UOS,"['IEO', 'Exchanges', 'Marketing', 'Partners/Advisors', 'Core team', 'Company Reserve', 'Growth', 'Content acquisition', 'Private Sale']","[12, 12, 1, 5, 18, 10, 15, 19, 10]"
12,Alien Worlds,TLM,"['Seed Sale', 'Presale', 'Binance Launchpool', 'External Protocol Development', 'Marketing', 'Alien Worlds Foundation', 'Advisors', 'Team', 'Governance', 'Liquidity Provision', 'Staking Rewards', 'Security Audits', 'Ecosystem Grants', 'Participation Rewards']","[13.75, 6.69, 2.92, 3.5, 9.24, 13.14, 5.35, 14.6, 3.89, 5.84, 3.41, 0.78, 14.24, 2.72]"
13,Thetan Gem,THG,"['Liquidity ', 'Staking issuance', 'Gaming issuance', 'Advisors', 'Team', 'Ecosystem fund', 'Reserve fund']","[11, 6, 23, 21, 5, 23, 11]"
16,Mines of Dalarnia,DAR,"['Binance Launchpool', 'Private Sale', 'Play-to-Earn', 'Liquidity', 'Marketing', 'Team', 'Advisors', 'Foundation', 'Ecosystem']","[3, 15, 20, 7, 6, 15, 7, 20, 7]"
18,DEAPcoin,DEP,"['Private/Pre-Sale', 'Marketing', 'Team', 'Play Mining']","[15, 13.34, 5, 66.66]"
20,GameFi,GAFI,"['Seed', 'Private', 'Public', 'Team', 'Advisors', 'Marketing / Liquidity', 'Ecosystem / Community ', 'Treasury']","[2, 12, 2, 16, 5, 20, 24, 19]"
21,GameZone,GZONE,"['Team', 'Advisors', 'Liquidity ', 'Ecosystem ', 'Reserve', 'Staking', 'Private sale', 'Public sale', 'Airdrop']","[12, 6, 15, 15, 5, 15, 20, 11, 1]"
22,Gods Unchained,GODS,"['Play to Earn reward', 'Gods Unchained reserve', 'Community & Ecosystem Fund', 'Community allocation', 'Token sale', 'Token Foundation']","[34, 25, 20.5, 7, 7, 6.5]"
23,Aurory,AURY,"['Seed investors', 'Team & Advisors', 'Ecosystem Fund', 'Public Sale', 'Liquidity', 'Play-to-earn', 'Treasury']","[18, 15, 7, 7, 4, 25, 24]"
