,Token Name,Token Symbol,Title,Percent
4,Terra Virtua Kolect,TVK,"['Business Development & Partnerships', 'Ecosystem Reserve', 'Rewards', 'Team', 'Equity investors', '2018 round', 'Seed', 'Private I', 'Private II', 'Public (Auction)', 'Marketing', 'Advisors']","[7.29, 20, 0.15, 10, 3.62, 5.31, 5.83, 20.94, 1.14, 0.73, 20, 5]"
10,Gamestarter,GAME,"['Development', 'Seed', 'Seed - Public', 'Liquidity ', 'Adoption Incentives', 'Team ', 'Advisors']","[7.5, 25, 4.25, 15, 27.25, 15, 5]"
11,Highstreet,HIGH,"['Treasure & Community', 'Team', 'Investors', 'Equity airdrop', 'IDO']","[54, 10, 30, 1, 5]"
13,HoDooi,HOD,"['Private ', 'Public', 'Team ', 'Staking', 'Liquidity Fund', 'Company Treasury', 'Reserves ']","[14.39, 1.11, 10, 12, 12.5, 40, 10]"
17,RealFevr,FEVR,"['Team & Shareholders', 'Private Sale', 'Public Sale', 'New Rights Acqusition', 'Treasury', 'Liquidity']","[10, 11, 4, 34, 20, 20]"
27,NFT Stars,NFTS,"['Marketplace Mining', 'Core Contributors', 'Community Offer', 'Team', 'Marketing Activities', 'Airdrops', 'Reserve Fund', 'DEX Liquidity']","[45, 16.25, 1.25, 15.5, 12, 6, 2.5, 1.5]"
28,NFTify,N1,"['Ecosystem', 'Marketing & Liquidity', 'Seed Sale', 'Private Sale', 'Public Sale', 'Angel Sale', 'Team & Advisors', 'Foundation']","[25, 10, 4.5, 13, 1.5, 3, 18, 25]"
29,Skyrim Finance,SKYRIM,"['Team', 'Advisor', 'Seed sale', 'Private sale', 'Public sale', 'Marketing fund', 'Liquidity fund', 'Operation reserve']","[10, 5, 8, 20, 5, 15, 25, 12]"
32,MerchDAO,MRCH,"['Staking Round', 'Reserve', 'Team', 'Advisors', 'Liquidity']","[35, 15, 10, 2, 3]"
35,NFTMart,NMT,"['Early Fundraising', 'Eco', 'Community Rewards', 'Liquidity Provision', 'Advisors', 'Team', 'Online Sale']","[16, 19, 40, 3, 6, 15, 1]"
38,LuxFi,LXF,"['Staking rewards', 'Marketplace rewards', 'Partnerships', 'Promotional rewards', 'Token sales', 'Team', 'Advisors', 'Liquidity', 'Treasury']","[30, 10, 5, 5, 20, 12.5, 2.5, 5, 10]"
39,Polkally,KALLY,"['Public Sale', 'Private Sale', 'Uniswap Liquidity', 'Ecosystem', 'Team']","[8, 40, 15, 27, 10]"
40,Melalie,MEL,"['Angel Round', 'Seed Round', 'Private Round A', 'Private Round B', 'Funding Operations', 'Funding Partnerships', 'Voting Contributors', 'Bounty Software', 'Bounty Community', 'Advisor', 'Team', 'MLL Vault', 'Staff & Bootstrapping']","[2.5, 5.83, 8.33, 8.33, 16.66, 16.66, 6.25, 6.25, 4.16, 4.16, 12.5, 4.16, 4.16]"
41,Twinci,TWIN,"['IDO 1', 'IDO 2', 'Pancakeswap Liquidity', 'Retroactive airdrop', 'Dev Team', 'Marketing & Partnership', 'Ecosystem Reserve', 'Farming & Staking']","[2, 1, 4, 2, 15, 24, 21, 31]"
46,Mozik,MOZ,"['Core Team', 'Foundation', 'Ecosystem Reward', 'Content Mining', 'Early Investors']","[12, 20, 25, 25, 18]"
48,Privi Trax,TRAX,"['Privi Foundation', 'Public sale', 'DEX liquidity', 'Presale', 'Platform rewards', 'Team']","[20, 7, 4, 5, 42, 22]"
56,Ethernaal,NAAL,"['Airdrops & Governance', 'DAO Treasury', 'DEX Liquidity', 'Active Project Team', 'Black Unicorn Finance', 'Marketing & Partnership', 'Public & Private Sale']","[6.25, 3.75, 25, 20, 5, 2.75, 37.25]"
63,WIVA,WIVA,"['Seed round', 'Private round 1', 'Private round 2', 'Public round', 'Founders', 'Advisors', 'Strategic reserve', 'Staking / Bonus / Airdrop rewards', 'Ecosystem growth', 'Liquidity provision']","[14, 14, 14, 2.5, 12, 8, 14, 8, 8, 5.5]"
