,Token Name,Token Symbol,Title,Percent
0,Immutable X,IMX,"['Project Development', 'Ecosystem Development', 'Private Sale ', 'Public Sale', 'Foundation Reserve']","[25, 51.74, 14.26, 5, 3]"
1,Radio Caca,RACA,"['Initial burn', 'Future investors', 'Team & Development', 'Marketing & Operation', 'ECO partners', 'Farm', 'Initial liquidity bootstrapping']","[10, 8, 6, 6, 4, 2, 64]"
9,NFTLaunch,NFTL,"['Team', 'Advisors', 'Liquidity', 'Ecosystem', 'Reserve', 'Staking', 'Private sales', 'BSCPad public', 'TronPad public', 'KCCPad public', 'ETHPad public', 'Airdrop']","[10, 5, 10, 9, 7.5, 12.5, 20, 7.5, 5, 5, 7.5, 1]"
12,MARS4,MARS4,"['Private round', 'Community round', 'Public round / Listing', 'Liquidity / Yield Farming', 'Team & Advisors', 'Treasury']","[25, 1, 5, 30, 20, 19]"
13,Brokoli,BRKL,"['Private sale', 'Public sale', 'Liquidity', 'Ecosystem Incentives', 'Team', 'Advisors', 'Development']","[23.75, 4.38, 15, 25.28, 15, 2, 14.6]"
14,Kalao,KLO,"['Seed', 'Private', 'Public', 'Farming', 'Team', 'Advisors', 'Eco']","[8, 10.2, 2.75, 45, 15, 6.55, 12.5]"
18,PolkaFantasy,XP,"['Ecosystem', 'Token Sale', 'Marketing', 'Team', 'Treasury']","[35, 20, 20, 15, 10]"
21,KAKA NFT,KAKA,"['IDO', 'Team', 'Mainstream Tokens Staking', 'Liquidity Mining', 'Play to Earn and Airdrop', 'NFT Staking', 'Investors']","[1, 15, 4, 15, 35, 5, 25]"
23,NFTrade,NFTD,"['Private round', 'Public sale', 'Liquidity incentives', 'NFT marketplace mining', 'Team', 'Advisors', 'Marketing']","[28.81, 4.44, 14, 18, 19.5, 7.25, 8]"
24,Chronicle,XNL,"['Foundation reserve', 'Liquidity ', 'Community Growth ', 'Team & Advisors', 'Seed round', 'Private round', 'Public Sale', 'Licensing & Partnership']","[10, 15, 5, 20, 11.2, 21, 2.8, 15]"
26,Madworld,UMAD,"['Public sale', 'Strategic Private sale', 'Platform and DAO rewards', 'Marketing fund', 'Content and Developers fund', 'Liquidity pool', 'Company reserve', 'Team & Advisors']","[0.5, 6, 25, 12, 10, 15, 16.5, 15]"
32,Theos,THEOS,"['Seed round', 'Private round', 'IDO', 'Strategic Partnership', 'Founders', 'C-suite', 'Community Marketing and Incentives', 'Token liquidity', 'Liquidity mining', 'NFT Creators fund', 'Community NFT Fund']","[4, 6, 0.39, 11.23, 16.8, 2.4, 11.18, 7, 17.5, 17.5, 6]"
34,Envoy Network,ENV,"['Liquidity', 'Team & Advisors', 'Liquidity incentives', 'Ecosystem', 'Private round', 'Public sale', 'Reserves']","[7, 20, 2, 25, 25, 1, 20]"
35,XP Network,XPNET,"['Public sale', 'Liquidity (MM)', 'Reserve', 'Staking rewards', 'Ecosystem', 'Advisors', 'Team', 'Private sale', 'Strategic sale', 'Seed sale']","[5, 5, 7, 10, 15, 2, 15, 20.65, 10.1, 10.25]"
38,The HUSL,HUSL,"['Public sale', 'Team', 'Advisors / Artists / Content1', 'Private sale', 'Operations / Development', 'Vault / Treasury', 'Liquidity provision : DEX / CEX', 'Bug finding', 'Legal', 'Events / Concerts / Promotion']","[1.2, 17.5, 11, 11, 16, 16, 18.3, 2.5, 2.5, 4]"
40,Babylons,BABI,"['Rewards', 'Team', 'Marketing', 'DAO Foundation', 'Private round', 'Strategic round', 'Advisors', 'Public round', 'Exchange liquidity', 'Seed round']","[42.5, 12.5, 10, 6.5, 6.3, 5.7, 5, 4, 4, 3.5]"
41,SportsIcon,ICONS,"['Team', 'Equity Investors', 'Pre-seed', 'Seed', 'Seed plus', 'Public', 'Staking rewards', 'Partnerships', 'Liquidity', 'Ecosystem expansion', 'Reserves']","[15, 5, 13, 13.39, 2.6, 2, 12, 8, 5, 6, 18]"
44,PixelVerse,PIXEL,"['Public sale', 'DEX TGE', 'Advisors', 'Seed round', 'Team', 'Strategic sale', 'Private sale', 'Reserves', 'Marketing', 'Ecosystem', 'Liquidity pool reward']","[1.5, 1, 3, 5, 10, 5, 7.5, 10, 20, 30, 7]"
45,Everlens,ELEN,"['Private sale', 'Seed', 'IDO', 'Yield Farming and Liquidity Mining', 'Dev fund & Marketing', 'Liquidity pool', 'Team & Advisors']","[13.33, 13.33, 3.56, 22.44, 15.33, 13.33, 18.67]"
46,MeDIA eYe,EYE,"['Team', 'Private/Pre-Sale', 'IDO', 'Marketing & Rewards', 'Development & Investments', 'QUAI DAO Treasury']","[23, 5, 2, 25, 25, 20]"
50,ENVELOP,NIFTSY,"['Team & Advisors', 'Family & Friends round', 'Seed round', 'Private round A', 'Private round B', 'Public round (crowd investors)', 'Partnerships', 'Marketing', 'Liquidity', 'Ecosystem', 'Reserve']","[12, 4, 18, 20, 7, 1, 5, 4, 10, 18, 1]"
53,Strip Finance,STRIP,"['Liquidity pools', 'DAO treasury', 'Seed sale', 'Private sale', 'Team & Advisors', 'Community', 'Public sale']","[19, 16, 10, 10, 18.5, 24, 2.5]"
55,Youclout,YCT,"['Team', 'Advisors', 'Liquidity Pool Rewards', 'Ecosystem and incentives for creators', 'Reserve', 'Marketing', 'Seed Round', 'Private Round', 'Public Sale']","[20, 1, 12, 12, 14, 20, 5, 13, 1]"
57,ProjectX,XIL,"['Seed', 'Public', 'FD reserve', 'DEX Launch & Treasury', 'Team & Advisors', 'Community and Marketing', 'Ecosystem Fund']","[26.6, 1.7, 10, 12, 15, 17, 17.7]"
59,NftyPlay,POLO,"['Seed Sale', 'Strategic Sale', 'Public Sale', 'Liquidity', 'Staking Pool ', 'Marketing ', 'Team, Strategic Partners, Advisors', 'Farming Activities ', 'NFT Emissions', 'Foundation ']","[5, 14, 3, 14, 5, 14, 20, 6, 5, 14]"
